h3_07,muutos,vuosi,geometry
87089968bffffff,10226,32200,"POLYGON ((24.81082508959592 60.22563875982572, 24.82962985384649 60.22083801709495, 24.846811023163546 60.22793402929172, 24.845188030130455 60.23983387790115, 24.82637198638533 60.2446351779981, 24.809190218798815 60.23753607158124, 24.81082508959592 60.22563875982572))"
87089968cffffff,3116,32200,"POLYGON ((24.73890731821645 60.221021511098954, 24.757705902940494 60.21623220631551, 24.77485718301865 60.223334582822545, 24.773210447851373 60.235229354556694, 24.75440057800119 60.24001920713741, 24.737248732085348 60.2329137396525, 24.73890731821645 60.221021511098954))"
87089968dffffff,1670,32200,"POLYGON ((24.75440057800119 60.24001920713741, 24.773210447851373 60.235229354556694, 24.790377254944598 60.24233164550497, 24.78873476926234 60.2542268803262, 24.769913603540196 60.25901728313684, 24.752746223016818 60.25191190036039, 24.75440057800119 60.24001920713741))"
87089968effffff,2234,32200,"POLYGON ((24.75935687519786 60.204337900753195, 24.778147285113814 60.199543429558204, 24.7952979907504 60.20664271431153, 24.79365886454491 60.21853956147908, 24.77485718301865 60.223334582822545, 24.757705902940494 60.21623220631551, 24.75935687519786 60.204337900753195))"
870899690ffffff,140,16100,"POLYGON ((24.73338686565301 60.130662430847664, 24.752135392730654 60.1258644385178, 24.76923911805205 60.13296085944942, 24.76759488027072 60.14485836218062, 24.74883512710348 60.14965689975509, 24.731730841420127 60.14255738882428, 24.73338686565301 60.130662430847664))"
870899691ffffff,1882,32200,"POLYGON ((24.74883512710348 60.14965689975509, 24.76759488027072 60.14485836218062, 24.784714048378017 60.15195471237565, 24.78307403482366 60.16385269045476, 24.76430304490282 60.16865177568512, 24.74718330890651 60.16155233464927, 24.74883512710348 60.14965689975509))"
870899692ffffff,1,10070,"POLYGON ((24.75378384244745 60.113967414214585, 24.77252423950742 60.10916426712951, 24.78962739592896 60.1162575972822, 24.78799072779486 60.12815716476917, 24.76923911805205 60.13296085944942, 24.752135392730654 60.1258644385178, 24.75378384244745 60.113967414214585))"
870899693ffffff,-1,2005,"POLYGON ((24.76923911805205 60.13296085944942, 24.78799072779486 60.12815716476917, 24.805109319467196 60.13525042334609, 24.80347688143974 60.147150467689904, 24.784714048378017 60.15195471237565, 24.76759488027072 60.14485836218062, 24.76923911805205 60.13296085944942))"
870899694ffffff,-196,24150,"POLYGON ((24.69755257685602 60.12835515029496, 24.7162980073356 60.12356285550673, 24.73338686565301 60.130662430847664, 24.731730841420127 60.14255738882428, 24.712974182114973 60.14735022409916, 24.69588477948604 60.14024756038327, 24.69755257685602 60.12835515029496))"
870899695ffffff,7332,32200,"POLYGON ((24.712974182114973 60.14735022409916, 24.731730841420127 60.14255738882428, 24.74883512710348 60.14965689975509, 24.74718330890651 60.16155233464927, 24.728415410092566 60.16634571281647, 24.711310572605814 60.15924311266795, 24.712974182114973 60.14735022409916))"
